bug_description , class_name
migrating bitnami redmine version to version window,Backend
remove image reference from browser all file referenced j,Frontend
wiki watch option not working,Backend
right click no longer give me toolbar menu after ive hidden navigation bar,Frontend
handle nil return of redmine theme theme setting ui theme in redmine info environment,Backend
navigating lambda token passed to enum constructor stop working in the presence of another enum,Backend
synced tab panel need proton stylings when not signed in,Backend
better linux distribution to install redmine,Backend
include private note property in xml json journal output,Backend
browsing from about blank to a url run activity stream code and doe an about newtab reflow,Frontend
error rail gemdependency xfac,Backend
custom query group by custom column,Backend
need some patch to enable email queue,Backend
with sqlite exception database locked,Backend
mute sound of a window including all of it tab,Frontend
generated password not shown if send account information to user is unchecked,Backend
parameter back url not set on redirect to login page when session ha expired,Backend
trending suggestion pref cause web search suggestion to be displayed for one letter input,Frontend
restore deleted user info,Backend
howto install redmine x with mercurial and subversion on ubuntu server,Documentation
feature request add to top site,Frontend
add style for pre in email notification,Backend
, sqlserver incorrect syntax near offset,Backend
open file on hamburger menu shouldnt be allowed for popups,Frontend
instrument non default application usage,Frontend
meta router infrastructure,Backend
creating an issue with the api in a project without tracker give a wrong error message,Backend
problem there an unnecessary indentation added to the name of the resource,Frontend
intermittent browser component newtab test browser browser customize menu content j highlight section is rendered null true got null , expected true operator,Frontend
alert confirmation not functional after tearing the tab off dragging browser tab to new window,Frontend
change work profile for admin user,Backend
preference support for dirtiness on preference page,Frontend
meta issue custom and standard field grouping and positioning,Frontend
awesomebar is too eager to provide suggestion and many of them are duplicate,Frontend
add a probe to measure location bar query length,Frontend
add table border to email notification,Backend
set sudo mode timeout to,Backend
enable protection doesnt work if user globally turn off mixed content blocking,Security
task document mssql support,Documentation
email notification with all watcher in cc list while creating or updating issue,Backend
dogfooding cleanup remove overridden assignment on jdt core codebase,Backend
the content of a toolbars new folder is not correctly displayed,Frontend
avoid a scroll bar more often when opening the main menu in touch mode,Frontend
right click to export a package when there is a module info java,Backend
drop support for mysql,Backend
the about downloads menu item show in finder folder button is not keyboard accessible,Frontend
keybindings the ctrl c shortcut stop working,Frontend
include workflow creation in rest api,Backend
migration error under mssql,Backend
meta sync detect , measure and report inconsistent server bookmark state,Backend
patch to add postgis adapter support,Backend
perspective need to be able to edit perspective before opening them,Frontend
state indicator doesnt persist on the first download on a new profile,Frontend
link to repository file in another project,Documentation
possible to search for attachment filename,Backend
keybindings preference page provide clue that handler are bound to particular component,Frontend
generating a thumbnail may take a long time and cause redmine to hang,Frontend
add regression test for dom fullscreen mode making overflowabletoolbar think it overflowing,Frontend
bookmark menu icon disappears in toolbar after clicking add bookmark menu to toolbar,Frontend
remove nsiprivacytransitionobserver,Security
how to disable the autocomplete feature in redmine like user name field at the server level,Backend
viewer allow easier setup and configurability for table treeviewers,Frontend
session expiration not visible when editing issue,Backend
custom acknowledgement meesage in resposne body of redmine rest api post call,Backend
search feature is broken,Backend
remove async smtp and async sendmail delivery method,Backend
awesome bar result menu button push the result item to the left , when the title of the item is shrinked faded out,Frontend
avoid content process jank by collecting slow event handler telemetry,Frontend
line number vertical bar disappears on display switch,Frontend
email notification when issue description is updated,Backend
provide ability to fetch whois information from within site identity doorhanger,Security
theme org eclipse ui theme fontdefinition need a fontfactory like colordefintion ha,Frontend
call browser deprioritize on the preloaded browser after it ha been created,Frontend
default theme ha white glitch at start end of every tab,Frontend
page action item disappear when typing in the location bar , even after taking focus out of the location bar,Frontend
databinding add javadoc and wiki best practice and rule of thumb for disposing iobservables,Frontend
layout is broken when using chrome to upload an attachment,Frontend
the library downloads option is too close to the bottom edge of the panel when the library is pinned to overflow menu,Frontend
command handler handle state change in commandlegacyactionwrapper,Frontend
creating new issue with custom field using rest api in redmine,Backend
filter by issue status on reminder task,Backend
saving an empty markdown image tag in wiki page cause internal server error,Frontend
content of search box not preserved upon restart,Backend
dogfooding cleanup use try with resource cleanup,Backend
editormgmt iworkbenchpage openeditors ieditorinput , should add editor at front of mru list,Frontend
ability to set default value for i dont want to be notified of change that i make myself,Backend
support character s a container icon,Frontend
intermittent toolkit component thumbnail test browser thumbnail expiration j single tracking bug,Frontend
minmax rcp allow maximize minimize to be separately configurable,Frontend
error an unexpected error occurred while taking full page screenshot,Frontend
parameter back url not set on redirect to login page when session ha expired,Backend
javadoc protected visibility for malformed doc comment hide this default reference,Backend
firefox loses window on restart,Backend
oracle support in redmine,Backend
pressing the mouse back button between clicking a file link and the save dialog showing , prevents the save dialog from saving,Backend
markdown formatter rb bug segmentation fault at x,Backend
entering dom fullscreen at the same time a starting a download sometimes hide the indication the download ha started,Frontend
update content blocking log when rdpartystorage permission change,Frontend
show parent issue in notification email,Backend
guest user should not see introduction info,Frontend
eclipse compiler incorrectly accepts enum array a annotation element , javac generates error,Backend
sequence error undo close tab,Frontend
contribution selection not converted for adaptable viewer contribution,Frontend
presentation cheese on editor tab after dragging view around,Frontend
save page a web page , complete doe not save favicons locally,Backend
a blank page is loaded after accessing certain highlight saved to pocket,Frontend
about account should show an error message when the user is over quota,Backend
remove keyword from bookmark editor,Backend
commonnavigator configure working set functionality is completely missing,Frontend
security notification is not sent when an admin change the password of a user,Backend
decorator can ilabeldecorator and ilightweightlabeldecorator be enhanced to update tooltips,Frontend
xml not well formed error when loading a ooo calc file via file url in address field,Backend
redmine version sometimes doesnt send mail notification,Backend
infixexpression badly parsed,Backend
org eclipse jdt core itypehierarchy getallsuperinterfaces itype doe not seem to consider interface hierarchy,Backend
marker problem view redefinable default action depending on marker type,Frontend
eclipse is shipping gradletoolingapi which is not java compatible,Backend
ctrl alt b and ctrl alt f do nothing in address bar on mac,Frontend
can not edit user , setting after update from x to x,Backend
can not get redmine to store datetimes a utc into database,Backend
sidebar location should be independent for multiple window,Frontend
send notification when new issue created by email,Backend
too many pinned tab go off overflow the tab strip , especially in small window,Frontend
add view a text html option for unknown mime content type,Backend
include two factor authentication scheme in user api response,Backend
allow dynamic result type to add remove dom element during view update , or consider supporting result that arent row,Frontend
ide workspace preference page should mention data,Frontend
project doesnt build due to a problem while deleting bin directory,Backend
recommended by pocket section is not displayed if the profile is created without internet connection,Frontend
reset the api key when changing resetting user password,Backend
a project member ha no access and get no notification , when being a watcher of the issue,Backend
downloads library item selection color obscures status bar and cancel button,Frontend
collapsable log statement,Backend
include avatar url in user api,Backend
tour icon colour is too light in dark theme in nightly,Frontend
provide global long term disable all promos flag,Backend
the default theme on window is massive,Frontend
how to modify an email template,Backend
keyword enabled suggests to execute a search if the typed string end with,Frontend
support for authentication source in rest api,Backend
default version and assignee are not exposed via project api,Backend
marker viewer in the problem view doe not support label decorator,Frontend
one click filter in search view,Backend
feature request have the problem occurred dialog display the full error message full stack trace instead of just the localized error message,Frontend
cant open eclipse,Backend
switch to tab suggested for tab that are not open , doe nothing instead of opening the page,Frontend
email configuration error,Backend
rest api group permissoins,Backend
author of ticket still get update when ticket changed to private,Backend
tear off window management completely broken,Frontend
fastviews allow for tear off to be global,Frontend
preference preferencesutil createpreferencedialogon should allow to display tree of node,Frontend
make it possible to open the migration wizard in about preference a a related tab,Backend
case insensitive search is not working with postgres and umlaut,Backend
upgrade wiki page doe not use bundle exec for rake task,Documentation
null analysis miss potential null pointer access,Backend
oracle support in redmine,Backend
npe in preferencedialog selectsaveditem,Frontend
a choice is missing from the list for notification by email,Backend
prevent user from getting stuck with an expired password recovery token in their session,Backend
user login prompt sorry , you do not have access to this page,Backend
list all tab dropdown still slow with lot of tab,Frontend
introduce the request store gem to hold user current and prevent data leakage in error message,Backend
dragging single word doesnt fallback to search with dns first for single word,Frontend
session restore behaviour for visible tab lead to stale data being shown to the user,Backend
theme menu in customization doesnt pop down if it doesnt fit on screen window,Frontend
rest api for version roadmap relationship and percentage,Backend
add default timezone for new user,Backend
linkedresources provide ui to edit location of a linked folder rsc,Frontend
editormgmt unified navigation between editor , view and perspective,Frontend
the â€œconfirm closeâ€ dialog doe not inform you about how many hidden tab you have,Frontend
user api ignores name and group id parameter,Backend
jface wizard page doesnt disable some widget whilst busy,Frontend
linkedresources prompt when importing project with undefined resource link location,Frontend
image in the theme should be shipped at twice the required resolution,Frontend
modular java correct type resolving for javadoc in module info file,Backend
investigate fixing the formatting in messaging system schema,Backend
add enabled core field to tracker api response,Backend
invisible element in hidden menu bar are tabbable in customize mode,Frontend
when user add change the password , provide a visual password strength checker,Backend
optional email header,Backend
implementation simplify grammar around formalparameterlist,Backend
perspective cant resize an editor diagonally,Frontend
pressing alt to summon menu bar , then clicking a hyperlink , cause link not to be followed,Frontend
hiding field in email notification,Backend
synced tab get opened with starting a private session,Backend
test testbug failure,Backend
after session restore some window flash want focus,Backend
eclipsefilemanager can not handle unc path,Backend
sort order icon is missing in user index,Backend
can not navigate to class that is in a dependency of a dependency,Backend
mechanism to do specific project operation after standard project import,Frontend
workbench pagelayout addstandaloneviewplaceholder standalonefolder should be public api,Frontend
tabbedproperties need api to show decoration on tab of tabbed property view,Frontend
consider extending statusreporter to allow adding message title,Frontend
the history result flicker while typing a keyword used for multiple search on different website,Frontend
internal error on custum query after upgrade,Backend
if the download button is not in place when the window open , the download button will not display progress,Frontend
intermittent browser component newtab test browser abouthomecache browser locale change j single tracking bug,Frontend
ticket status closed,Backend
wizard filteredtree need junit test,Frontend
email notification when issue description is updated,Backend
add button that allows interaction with about logins without having to navigate to about logins,Frontend
error were trying to access rol,Backend
disable api authentication with username and password when two factor authentication is enabled for the user,Backend
npe in saveaction,Backend
email notification when watcher is added and removed,Backend
feature request move tab to other open window,Frontend
email footer,Backend
improve download indicator animation to be more noticeable,Frontend
gmail ctrl click open in new tab,Frontend
stop using preference jsm in doh code,Security
font too small in version,Backend
firefox doesnt use icon defaulticon for custom protocol handler registered via registry,Backend
better error message when no api format is recognised,Backend
make first name and last name optional not required in user setting,Backend
menu setting button should open a new setting tab per window,Frontend
undo undo redo toolbar item,Frontend
meta tab and tab bar animation issue and enhancement,Frontend
add default timezone for new user,Backend
command missing in the redmineinstall page,Documentation
extend a name field for enumeration,Backend
propertiesdialog info property page ha no help,Frontend
provide debuglistener through osgi component to decouple,Backend
show the number of day left until the due date in reminder,Backend
presentation regression partstack is making assumption that the stackpresentation cookie type is an integer,Frontend
issue creation failed if email notification fail,Backend
a a project admin i need to be able to set notification rule at the project level based on a role,Backend
when launching ff in permanent private browsing mode with the private option , only the initial window ha the indicator that it private,Security
ide allow to trigger a project build from the context menu,Frontend
add compass direction alias for feature callout anchor attachment,Backend
search alias function only in address bar,Backend
getting issue by multiple value of custom field,Backend
offer possibility to set a directory with jar to be included in the classpath add external jar folder,Backend
font size in location bar drop down on linux make em dash look misplaced,Frontend
can not select text in a table with a context menu available,Frontend
newtab linting script that rely on top level mach lint arent working in a window dev environment,Backend
databinding add test for iobservablemap to conformance test,Frontend
possibility of auto update to the latest stable version,Backend
editormgmt opening web browser from recently opened list should open last page,Frontend
floating view toolbars,Frontend
favicon ico doesnt work without link rel shortcut icon href â€¦ anymore,Frontend
not landing on home page on login after visiting lost password page,Backend
some widget move are not recorded in telemetry,Frontend
appropriate telemetry category for the clipboard provider feature,Frontend
unable to view login page in localhost,Backend
align ellipsis menu styling to new tab spec,Frontend
can not resize location bar and search bar if they are not adjacent to each other,Frontend
theme eclipse us wrong font setting default,Frontend
one off search button are notified about the full current query when they dont need to be,Backend
display of search field on private newtab should track regular newtab,Frontend
improve performance of principal member of scope,Backend
initial defaultsto of colordefinition not working,Frontend
database definition,Backend
different content type are created for zip in setting application,Frontend
editormgmt rcp presentationsapi remove the title bar from the editor,Frontend
javadoc location,Backend
documentation of upgrading from x to x,Documentation
rest api issue xml call returning no content,Backend
get file of all project using api,Backend
up to now , i can not get the allowed file extension when using the rest api,Backend
api get custom field by id,Backend
field name purpose is not clear,Backend
optimize bookmark toolbar folder menu for touch,Frontend
time zone lost when upgrading from redmine to,Backend
investigate can we remove nsisearchservice idl,Backend
alpenglow tooltip for autohide in customise page ha right border different than the rest,Frontend
tinytds generates sql for wrong version of m sql,Backend
redmine doe not send all notification email,Backend
preference unecessary access to preference,Frontend
can not get redmine to store datetimes a utc into database,Backend
pdf preview in attachment page,Frontend
support emacs style replace behaviour matching case,Frontend
meta geolocation request optimisation,Backend
mailhandler can not handle byte character,Backend
handle search for record type in namelookup,Backend
editormgmt multi select open only open tab with presentation,Frontend
disable http plaintext basic auth and possibly other scheme,Security
workingsets preference failure in n,Frontend
rest api method not available see used status list a per the tracker,Backend
access custom field in project specific activity via redmine api,Backend
browser xul leak through downloads content indicator j,Frontend
the first tab right of pinned tab is replaced by invalid url,Frontend
include auth source field in user api response,Backend
internal error while creating user with api by json request,Backend
update sidebar to match the rest of the theme,Frontend
beach ball on code completion suggestion,Backend
download card is shown when restart to update should be prompted in loss reaquire of network availability,Frontend
quick fix create local variable doesnt work in try with resource,Backend
synthesizekey is used instead of sendstring in many payment test,Frontend
with x font google font google font for freebsd showing the bookmark toolbar and personal toolbar empty , whilst the bar is used for item other than bookmark toolbar item , can make the ui too wide for the window,Frontend
paging miss some entry,Backend
opening a view in the pde perspective us wrong stack,Frontend
error occurred while sending mail tl and are not supported by your organization,Backend
quick fix import class should not add requires module to module info for test based dependency,Backend
an extra tab press is required to move from the save to pocket button to the cancel button on about logins with discard unsaved change modal,Frontend
document all available redmine link properly,Documentation
use returned conflicting device id to resolve conflict during fxa registration,Backend
get response even when specifying an id value that doe not exist,Backend
diagnose state changing assertion,Backend
private constructor cause never used locally error,Backend
address bar sponsored hover link cause the resultlist to jump which is disturbing,Frontend
optional email header,Backend
null external external annotation not resolved to plugins,Backend
meta add a command to remotely flag record for re upload,Backend
setting a default handler for the geo protocol,Backend
redmine query is very slow after upgrading from mysql to,Backend
compiler tolerate white space into non nls marker,Backend
problem in take screenshot when selecting a custom region,Frontend
allow opening ttp and hxxp url that are not linked from the context menu,Frontend
firefox brand will be hidden a well in about newtab when web search is deactivated from preference,Frontend
inconsistent border coloring of ui element,Frontend
some submenu object are difficult to see with gtk,Frontend
toggle full screen and others menu should be changed to show current state,Frontend
open a new tab button is not visible when the browser is out of focus,Frontend
wizard preserve default workbench suggestion for non default,Frontend
commonnavigator lazy loading of contributing plug in not supported,Frontend
search engine result from history is replaced by amazon browsing history link in the address bar search suggestion dropdown cause flicker effect,Frontend
dialog add an option to make linked file and folder read only,Frontend
double e mail notification for issue in the next day,Backend
improve client certificate handling login logout , pin caching,Security
save ticket by pressing keyboard key,Frontend
intermittent toolkit component messaging system schema specialmessageactionschemas test browser browser sma open protection report j single tracking bug,Backend
would be nice if certain tool webdeveloper shortcut also acted a toggle,Frontend
cs the cascading structure of the inherit value is not completely resolved due to the cs standard,Frontend
allows an option to temporarily mute email notification per user and or per role,Backend
add auth source id to get request for endpoint user format,Backend
both cfr tip and webcompat reporter use similar lightbulb icon since bug,Frontend
use http link header rfc to show tab favicon,Frontend
cant verify csrf token authenticity on ie with alias,Backend
autofill not working well when an origin is dominating others or website change origin often,Frontend
temporary file not removed when opened with default application,Backend
need send page to button,Frontend
format switch statement half indent,Backend
mail notification override for ticket submitted via email,Backend
logins list may show two gray block,Frontend
implement sentry client side rate limiting to save network bandwidth before riding train,Frontend
improved password entering proactive phishing protection,Security
add the keyboard shortcut affordance for bookmark to the pam,Frontend
option to send email notification while importing issue from csv file,Backend
add configured theme and whether it includes javascript to redmine info,Backend
project list list all project , even if user is not added to them,Backend
replace gsub with tr , delete , or squeeze,Performance
propertiesview propertysheetpage no accessor for field celleditoractionhandler,Frontend
window title in the taskbar change multiple time when restoring session,Backend
pdf take second to render,Frontend
actioncontroller unknownformat error for pdf request and unknown user,Backend
preference combofieldeditor have no border under linux,Frontend
ghost tab the page ha been closed but the tab remains,Frontend
add ability to test upgrade path for builtin engine,Backend
use setting host name instead of setting app title a totp issuer to avoid name collision with other instance or apps,Backend
file save page a can not replace loaded document source file,Backend
simpler link syntax note to make a link to a note of the current issue,Frontend
save page a use htm instead of html,Backend
drop setting blind carbon copy recipient bcc,Backend
make it easier to reload old downloads from the library,Frontend
adjust ecj to change in jvms,Backend
control q sits right next to control w on qwerty keyboard,Frontend
rcp productproperties need to be api,Frontend
separated email template for closed status,Backend
add keyboard shortcut for pocket,Frontend
itypehierarchy getsuperclass itype return null for anonymous class in lambdaexpressions,Backend
jar export can not be called in headless mode,Backend
add status support for all editor,Frontend
rest api filter by issue category,Backend
failed when using emoji,Backend
email notification not going to assignee and user enabled otification in project,Backend
add configured theme to redmine info,Backend
user given search engine alias can override another search engineâ€™s default alias,Backend
actionmailer need to limit how many maximum connection it open,Backend
case insensitive search is not working with postgres and umlaut,Backend
time entry post doesnt work in json format,Backend
gtk win dark background color for selected item in tree wrong for owner drawn item,Frontend
selecting the english dictionary with multiple dictionary always fails the first time,Frontend
a strip with all possible icon is showing twice in firefoxs toolbar,Frontend
code completion stackoverflowerror in code completion for inner class within lambda,Backend
plugin that includes spent hour in issue rest api response,Backend
run garbage collection by clicking on the admin site,Backend
meta propagate bulk deletion to the server and other client,Backend
update never applied due to ca not in default cert store,Security
unused argument detection should ignore special method,Backend
better logging of propertytester error,Frontend
about logins should allow restricting search to domain,Frontend
workbench improve the end user experience with the error dialog,Frontend
intermittent browser component sessionstore test browser j single tracking bug,Backend
search filter user in backend,Backend
add the ability to insert the captured image into a new pdf document,Frontend
firefox should not create it own titlebar on win but respect the system one,Frontend
problem log view should allow to filter similar to error view,Frontend
invalid username or password after core hour,Backend
commonnavigator resourceextensioncontentprovider and workbenchcontentprovider do not support iresourcedelta content change to indivdual file,Frontend
dialog filteredtree show search icon and get rid of initial text when focused,Frontend
urlbar remove http from text i pasted to urlbar after i switch to other tab and back,Frontend
notification sub event for issue updated doe not cover all event which consist it parent,Backend
change the default notification option for user to only for thing i watch or i am assigned to,Backend
wish improve tab browser into a vertical bar with tree structure,Frontend
sidebar view picker doesnt support down drag up to select view,Frontend
search finegrain search for array allocation,Backend
show module name in bold in permission report,Backend
consider running validation only for user with k local bookmark,Backend
overflowed tab with sound indicator is missing the left border,Frontend
crash with the message undefined method alias method chain when connecting to microsoft sql server,Backend
access to localstorage across file scheme depends on how open file,Frontend
ast recovery for fielddeclaration with missing type,Backend
pdf thumbnail to png failing on ruby,Frontend
dark theme message of text setmessage is unreadable,Frontend
admin screen new custom field button doe not work if there are no custom field,Backend
theme occasionally switch back immediately after changing,Backend
feedback about email delivery,Backend
mailhandler can not handle byte character,Backend
optional disabling username validation with ldap authentication,Backend
redmine java api journal is missing user data,Backend
consider grouping bookmark structure change move , new child into batch,Backend
password manager doesnt remember exception,Security
m uninterruptible reflow at chrome browser content tab content j,Frontend
when a link is highlighted , pressing ctrl enter should open it in a new tab ctrl shift enter should open in a new window,Frontend
error message on sign up is too small and low on the page,Backend
redmine actionview template error,Backend
make user profile rendering more consistent and speed up user show api,Backend
upgrade dependency from redux react redux,Frontend
progress rcp public api for displaying job progress,Frontend
syntax highlighter replace coderay with rouge,Frontend
pdf viewer stuck on page,Frontend
java completion crash on intersection variable declared using var,Backend
invalid marking of variable a always null,Backend
ldap contextless login in active directory,Backend
add test for downloads indicator state,Frontend
getting issue by multiple value of custom field,Backend
intermittent browser tabswitch updatecommands j single tracking bug,Frontend
show tree path of project when searching in searchable project selectbox,Frontend
sidebar opt in message script should unload in same session once opted in,Backend
notify user about high issue only,Backend
markdown formatting supporting html,Frontend
email not truncated when use deleted,Backend
get possible value of custom field for non admin user,Backend
allow application to veto dragging an editor to another window,Frontend
file mime type is overwritten by o level setting,Backend
show notification for all redmine user,Backend
add style for blockquote in email notification,Backend
race condition possible filename collision in attachment disk filename,Frontend
optimize issuequery sql for assigned to role field for postgresql performance,Performance
contribution state cant programmatically set initial checked state,Frontend
move more lightweight theme cs from browser base content browser cs to browser theme shared browser inc cs,Frontend
api creating issue with project identifier no longer possible,Backend
keybindings preference page warn when defining multi key that clobber single key,Frontend
memory javadocparser avoid zero length array,Backend
do longitudinal analysis on fx tab switch spinner visible long m probe to see how many of our user see really bad tab switch spinner,Frontend
org eclipse e ui internal workbench eworkbench should be api,Frontend
address bar not functional in last tab when closewindowwithlasttab is set to false,Frontend
api creating issue with project identifier no longer possible,Backend
databinding validatedobservable value list set map should track staleness of validation status observable,Frontend
consider having content assist ignore array bracket,Backend
databinding add shortcut from to method to bind api,Frontend
openid login fails due to csrf verification,Backend
consider replacing handling of opaque model element with persiststate false,Frontend
out of office vacation user status,Backend
customize menu ha no keyboard support,Frontend
org eclipse jface test internal databinding swt controlobservablevaluetest testobservefocus failing on mac,Frontend
new tab page should respect alpenglow theme,Frontend
mac o switching window with cmd doesnt work when in japanese romaji kotoeri input mode,Frontend
newly created profile data are not displayed in the new migration window if created while firefox is running until firefox is restarted,Backend
databinding exception with observablecollectiontreecontentprovider in conjunction with ielementcomparer,Frontend
how to migrate redmine database to redmine,Backend
adding a principal to project with member inheritance lead to an error,Backend
perspective switcher on the left with text look bad due to scratched icon,Frontend
viewer tableviewer remove finditem doe not work properly,Frontend
video audio control should be available on the tab list , along with the mute button,Frontend
migration redmine stable,Backend
change url in automatic e mail,Backend
fix hide useless confusing toolbar element,Frontend
dom ast the type binding associated with patterninstanceofexpression is null,Backend
add test for scrolling a tab into view after unpinning it,Frontend
add checkbox for user to turn on off daily reminder,Backend
foxfooding import only list chromium,Backend
commonnavigator project explorer select all ctrl a bug,Frontend
post sign in notification is not displayed if the account wa verified while firefox wasnt running,Backend
contribution exception during eclipse shutdown,Frontend
bad error when out of disk space for helper application path,Backend
write a flicker test for preloaded about newtab page,Frontend
editing issue doe not send notification to previous assignee,Backend
incorrect db migration version,Backend
bidi bidi lack of api for retrieving user calendar preference from o,Frontend
specifying optional dependency,Backend
special micro character in message field cause internal server error,Backend
possibility of auto update to the latest stable version,Backend
automatic deletion of unactivated account,Backend
unable to select column in administration , setting , issue tracking , default column displayed on the issue list,Backend
firefox sometimes add xl to xml file when downloading with the correct mimetype,Backend
when editing the button bar , the buttonâ terminer blink in blue but doe take return press,Frontend
cs theme allow the debug run configuration dialog tab to be styled,Frontend
cant verify csrf token authenticity on ie with alias,Backend
add an add to ibooks button to pdf viewer on mac,Frontend
compiler doe not detects the unreachable code,Backend
remove the administration index page and jump right into setting,Backend
make search toolbar history easier to discover,Backend
provide option for about privatebrowsing to show blank page like about newtab,Security
binarymethod getsourcerange may select wrong range for overloaded method,Backend
rake db migrate rail env production,Backend
unknown file size while downloading attachment,Frontend
unfocused firefox window need dimmed text in tab title and addressbar,Frontend
sensitivity of bookmark stepper is not always correctly set,Frontend
quick fix add suppresswarnings in wrong place,Backend
different favicon used for tab on reload,Frontend
viewer improve javadoc for treeviewer add,Frontend
decorator cv decoration backwards in polish,Frontend
database setup and reset,Backend
syntax issue table in indent paragraph,Frontend
show declaration f on a method not working if followed by some lambda with,Backend
support outlook com a one of default handler for mailto uris,Backend
tab bar wont automatically scroll to new tab firefox wa open for some day,Frontend
auto transition status,Backend
how to change the email notification sending time,Backend
a â€œxâ€ clear button should be added on the right side of the search bar when typing a string,Frontend
make the assignee more prominent in email notification,Backend
ability to add search provider from plugins,Backend
add user status to user list api,Backend
search name of file attached to issue,Backend
window resize gripper should always be the right most element,Frontend
consider using remote english string if both local remote fluent file are missing for applocal,Backend
workbenchparts api required to determine pagebookview from an enclosed page,Frontend
firefox us too much bandwidth,Frontend
incorrect message appears after importing an invalid credit card number,Backend
sync doesnt start immediately if something schedule a regular sync before autoconnect is called,Backend
error during ast creation,Backend
about debugging highlight focus on primary secondary button doe not correspond with the specific button proton highlight styling,Frontend
open bank in the banking container,Frontend
use more secure hashing algorigthm,Backend
ask more specific confirmation question when closing reopening archiving project,Backend
sync moz inputhistory value to ensure adaptive behaviour is identical,Backend
remainder email when due date get elapsed,Backend
content assist code completion proposal dont always work,Backend
when zooming to on the personalize new tab , item become partially visible and horizontal scrolling doesnt work,Frontend
can not lock a wiki page using rest api,Backend
consider renaming usercontext id and class name,Security
more inconsistent behavior of system theme in firefox,Frontend
migration from boolean to varchar fails on postgresql,Backend
api post new issue , custom field mandatory,Backend
altgr select text in form sometimes in nightly,Frontend
find better icon for collapse expand,Frontend
external annotation imposition on derived class are error rather than warning,Backend
large performance hit when applying custom cs to tabbrowser,Frontend
the new firefox logo doe not render a well a the older logo,Frontend
support future warning token,Backend
can not preview and download an encrypted pdf attachment,Frontend
add user status to user list api,Backend
code block consistent rendering and retaining user supplied language name in rendered html,Frontend
zoom level indicator should not have hover active state like a button,Frontend
commonnavigator navigatorcontentprovider not invoked although invokealwaysregardlessofsuppressedext,Frontend
primary password dialog block all network traffic and page load,Backend
detachedviews add item to detach and reattach an entire folder via the system menu,Frontend
crash on opening user page,Backend
missleading error location of java compiler because of recovery trial,Backend
platform , ecp cce in lightweightdecoratordefinition run,Frontend
contribution use selection from secondary window for command invoked via main menu,Frontend
workbenchparts use dnd to create viewpart,Frontend
context back menu item is arbitrarily unhidden when context menu is shown,Frontend
cssengine convert should be genericized,Frontend
adfs integration,Backend
keybindings keybinding conflict occurred for ctrl w and ctrl f with view switcher,Frontend
add additional mail header for issue tracker,Backend
remainder email when due date get elapsed,Backend
user can block his account or assign relief,Backend
elevate to admin mode for authorized user instead of always working at admin level,Backend
newtab user event telemetry need comprehensive test,Frontend
consider support for a new security ui widget,Security
certain type of entry render erroneously in the download history toolbar menu,Frontend
browser showingsearchterms should be updated when a user change the preference of showsearchterms shouldshow,Frontend
exception occurred during compilation unit conversion,Backend
deprecate cu codecomplete variant without a monitor,Backend
sessionstore openwindows promise chain should not fail silently,Backend
trim making trim contribution unmovable,Frontend
editormgmt white border on inactive editor look bad,Frontend
add button send notification again,Backend
while working in assignment context , the method that return void should be lower in relevance,Backend
can not lock a wiki page using rest api,Backend
email,Backend
block in new tab can hide design ui,Frontend
editormgmt navigation after switching perspective , back no longer return to the point where a hyperlink wa clicked,Frontend
sync site permission nsipermissionmanager,Backend
wizard initial size too wide for new project wizard when project with long name in workspace,Frontend
navigator image file,Frontend
,Backend
abstraction layer for notification,Backend
open toolbar menu on mousedown , rather than oncommand,Frontend
added formatting for email notification,Backend
disable api authentication with username and password when two factor authentication is enabled for the user,Backend
view all issue link in email reminder point to issue list which doe not include issue assigned to a group,Backend
preference preferencedialog doesnt update the min size of it scrolledcomposite when page layout change,Frontend
addonmanagers repository sometimes doesnt have all addons , making syncs use of it problematic,Backend
databinding jsr bean validation,Frontend
firefox automatic downloads of certain file without visible prompt,Backend
documentation need tutorial for installing redmine with apache on ubuntu,Documentation
use a different tooltip message for the contact information,Frontend
make the assignee more prominent in email notification,Backend
copying a role doe not copy custom field visibility,Backend
add appserver to technical information page,Backend
initial bookmark sync is very slow , take hour or never end for bookmark,Backend
move the zerothreshold autofill test task and modify it so the url is not bookmarked or disable bookmark autofill,Frontend
getting issue by multiple value of custom field,Backend
workbenchparts statefull area,Frontend
email reminder sent even if ticket is closed,Backend
contribution viewactions for editor,Frontend
mail to user group in case of immediate issue,Backend
workbench setting workbenchlogger regardless of the iloggerprovider,Frontend
add option to restrict auto remove brace save action to really simple statement only,Backend
whenever i open a new private window from the taskbar , it always say about privatebrowsing in the start tab,Security
tool web search should try highlighting the web search textbox,Frontend
opening tab en masse flash the system accent color on the tab navigation,Frontend
reorganizing tab is laggy and jittery , only in window,Frontend
platform npe in operationhistoryactionhandler partlistener partclosed,Frontend
oracle support in redmine,Backend
ux decision on multiple download spam protection feature,Backend
page not found lost password function,Backend
first name and last name a mandatory field,Backend
url fade out effect on url text is removed after closing a full screened video,Frontend
intelligently de duplicate search engine page result,Frontend
workingsets project explorer doesnt update error marker on project icon if some working set is active,Frontend
provide ctrl click navigation for resource specified in junit csvfilesource,Backend
calling method from constructor can trick null annotation,Backend
editormgmt distinguish file association by project,Frontend
allow toolbars to hide when focus leaf the toolbars address bar,Frontend
